NCES_DISTR,District,DISTRICT_NAME,GT_SPEND_DIFF,TAX_DIFF,STATE_DIFF,TOT_MONEY_DIFF,SDLEA10,NAME,NAME2,TEA.District.Type,TEA.Description,NCES.District.Type,NCES.Description,Charter.School..Y.N.,SCH_GTENR_HI_M,SCH_GTENR_HI_F,GT_Hispanic,SCH_GTENR_AM_M,SCH_GTENR_AM_F,GT_AM,SCH_GTENR_AS_M,SCH_GTENR_AS_F,GT_AS,SCH_GTENR_HP_M,SCH_GTENR_HP_F,GT_HP,SCH_GTENR_BL_M,SCH_GTENR_BL_F,GT_BL,SCH_GTENR_WH_M,SCH_GTENR_WH_F,GT_WH,TOT_GTENR_M,TOT_GTENR_F,TOT_GT,LEA_STATE,LEA_STATE_NAME,LEA_NAME,SCH_PSENR_HI_M,SCH_PSENR_HI_F,SCH_PSENR_AM_M,SCH_PSENR_AM_F,SCH_PSENR_AS_M,SCH_PSENR_AS_F,SCH_PSENR_HP_M,SCH_PSENR_HP_F,SCH_PSENR_BL_M,SCH_PSENR_BL_F,SCH_PSENR_WH_M,SCH_PSENR_WH_F,SCH_PSENR_TR_M,SCH_PSENR_TR_F,TOT_PSENR_M,TOT_PSENR_F,SCH_PSENR_LEP_M,SCH_PSENR_LEP_F,SCH_PSENR_IDEA_M,SCH_PSENR_IDEA_F,SCH_ENR_HI_M,SCH_ENR_HI_F,SCH_ENR_AM_M,SCH_ENR_AM_F,SCH_ENR_AS_M,SCH_ENR_AS_F,SCH_ENR_HP_M,SCH_ENR_HP_F,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_ENR_TR_M,SCH_ENR_TR_F,TOT_ENR_M,TOT_ENR_F,SCH_ENR_HI,SCH_ENR_AM,SCH_ENR_AS,SCH_ENR_HP,SCH_ENR_BL,SCH_ENR_TR,TOT_ENR
4844010,126908,VENUS ISD,-33254,850606,3548044,4759118,44010,Venus ISD,Venus,D,Other Central City Suburban,31,Town-Fringe,N,35,32,67,0,0,0,0,1,1,1,0,1,0,2,2,34,31,65,71,67,138,TX,TEXAS,VENUS ISD,35,26,0,1,0,0,0,0,0,1,8,12,1,0,44,40,23,10,1,2,658,579,6,5,12,10,1,0,30,29,417,336,28,19,1152,978,1237,11,22,1,59,47,2130
4844040,226908,VERIBEST ISD,-10405,291672,372863,875137,44040,Veribest ISD,Veribest,H,Rural,42,Rural-Distant,N,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7,7,2,9,TX,TEXAS,VERIBEST ISD,3,4,0,0,0,0,0,0,0,0,3,6,0,0,6,10,0,0,0,0,62,56,0,1,1,1,0,0,0,2,65,77,4,2,132,139,118,1,2,0,2,6,271
4844110,244903,VERNON ISD,-89566,-715478,2011677,985758,44110,Vernon ISD,Vernon,G,Non-metropolitan Stable,33,Town-Remote,N,11,10,21,0,0,0,1,4,5,0,0,0,2,2,4,31,27,58,46,44,90,TX,TEXAS,VERNON ISD,19,15,0,0,4,2,0,0,3,1,5,5,2,1,33,24,9,4,6,0,427,446,3,5,43,46,4,4,87,104,419,356,37,35,1020,996,873,8,89,8,191,72,2016
4844150,235902,VICTORIA ISD,-144592,-1613448,11695934,11657660,44150,Victoria ISD,Victoria,E,Independent Town,13,City-Small,N,90,99,189,1,3,4,5,6,11,0,0,0,6,7,13,135,125,260,240,245,485,TX,TEXAS,VICTORIA ISD,251,225,0,0,3,6,0,0,22,25,89,58,4,4,369,318,33,34,65,15,4795,4535,12,13,66,78,3,5,485,476,1890,1705,119,109,7370,6921,9330,25,144,8,961,228,14291
4844160,181907,VIDOR ISD,38704,1156367,2209040,3131921,44160,Vidor ISD,Vidor,D,Other Central City Suburban,22,Suburb-Midsize,N,5,5,10,0,1,1,0,1,1,0,0,0,0,1,1,56,43,99,61,51,112,TX,TEXAS,VIDOR ISD,6,8,0,0,0,0,0,0,0,4,107,74,1,5,114,91,4,4,26,11,198,182,5,5,16,17,0,1,7,8,2165,1921,44,50,2435,2184,380,10,33,1,15,94,4619
4844250,143904,VYSEHRAD ISD,1735,703,230762,247786,44250,Vysehrad ISD,Vysehrad,H,Rural,43,Rural-Remote,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,TX,TEXAS,VYSEHRAD ISD,0,0,0,0,0,0,0,0,0,2,4,5,1,1,5,8,0,0,0,0,0,0,0,0,1,1,0,0,7,14,44,44,4,6,56,65,0,0,2,0,21,10,121
4844280,161914,WACO ISD,58868,8640865,7200672,15780406,44280,Waco ISD,Waco,C,Other Central City,12,City-Midsize,N,469,426,895,1,0,1,2,8,10,0,0,0,115,98,213,139,123,262,743,663,1406,TX,TEXAS,WACO ISD,285,324,2,0,3,1,1,0,121,136,48,28,7,13,467,502,148,142,33,18,4619,4335,9,3,17,27,3,2,2167,2059,705,606,136,127,7656,7159,8954,12,44,5,4226,263,14815
4844310,89905,WAELDER ISD,421,107164,591451,881661,44310,Waelder ISD,Waelder,H,Rural,43,Rural-Remote,N,5,5,10,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,6,6,12,TX,TEXAS,WAELDER ISD,20,14,0,0,0,0,0,0,2,0,2,1,1,0,25,15,11,8,5,1,70,68,63,63,0,0,0,0,20,22,8,7,1,3,162,163,138,126,0,0,42,4,325
4844370,59902,WALCOTT ISD,3018,208192,361715,552313,44370,Walcott ISD,Walcott,H,Rural,43,Rural-Remote,N,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,3,3,6,TX,TEXAS,WALCOTT ISD,10,3,0,0,0,0,0,0,0,0,2,1,0,0,12,4,0,1,0,0,55,47,0,0,0,0,0,0,0,0,10,12,0,0,65,59,102,0,0,0,0,0,124
4844410,226906,WALL ISD,16150,224053,1501563,1956474,44410,Wall ISD,Wall,D,Other Central City Suburban,41,Rural-Fringe,N,5,2,7,0,0,0,2,0,2,0,0,0,0,0,0,34,42,76,41,47,88,TX,TEXAS,WALL ISD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,125,0,1,2,2,1,0,1,1,468,415,13,11,584,555,224,1,4,1,2,24,1139
