"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20230101","2023","52","2023","579","NOR","Norway","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","9738","false","0","false",,"14010917.085","14010917.085","0","false","true",
"C","A","20230101","2023","52","2023","600","PRY","Paraguay","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","19.97","false","0","false",,"5170.68","5170.68","0","false","true",
"C","A","20230101","2023","52","2023","608","PHL","Philippines","X","Export","842","USA","USA","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","1513808.76","true","2863723.49","false",,"2799213091","2799213091","4","false","true",
"C","A","20230101","2023","52","2023","616","POL","Poland","X","Export","842","USA","USA","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","23986.213","true","0","false",,"14045062","14045062","6","false","true",
"C","A","20230101","2023","52","2023","620","PRT","Portugal","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","4084.248","true","0","false",,"4536101.351","4536101.351","4","false","true",
"C","A","20230101","2023","52","2023","642","ROU","Romania","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","8950.94","true","0","false",,"4871796.39","4871796.39","4","false","true",
"C","A","20230101","2023","52","2023","688","SRB","Serbia","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8541","Semiconductor devices (e.g. diodes, transistors, semiconductor based transducers); including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED) assembled with other LEDs or not, mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","8446.542","true","-1","N/A","0","false","2623.419","true","0","false",,"45386","45386","6","false","true",
"C","A","20230101","2023","52","2023","699","IND","India","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8541","Semiconductor devices (e.g. diodes, transistors, semiconductor based transducers); including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED) assembled with other LEDs or not, mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","338160199.635","true","0","false",,"1805697861.369","1805697861.369","4","false","true",
"C","A","20230101","2023","52","2023","703","SVK","Slovakia","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8541","Semiconductor devices (e.g. diodes, transistors, semiconductor based transducers); including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED) assembled with other LEDs or not, mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","1846.483","true","0","false",,"833662.431","833662.431","4","false","true",
"C","A","20230101","2023","52","2023","705","SVN","Slovenia","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8541","Semiconductor devices (e.g. diodes, transistors, semiconductor based transducers); including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED) assembled with other LEDs or not, mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","193.701","false","0","false",,"200743.856","200743.856","0","false","true",
